;mae;mse;rmse;mape;n
SANSED02#D06Sd01;135.903853210227;19477.7296766964;139.562637108563;0.141338237166541;5
SANSED02#D06Sd02;93.4998182499473;9754.765021814;98.7662139692213;0.0998838214508484;5
SANSED02#D06Sd03;24.4154137995297;1275.95005324642;35.72044307181;0.0280184411997485;5
SANSED02#D07Sd01;22.9626950138738;655.744764102303;25.6075138211874;0.0395848518217122;5
SANSED02#D07Sd02;32.9642702565233;1366.73538493703;36.9693844273478;0.0550852708900317;5
SANSED02#D07Sd03;12.2026691072121;269.648005156723;16.4209623699929;0.0214310239388301;5
SANSED02#D09Sd01;295.939292482596;87999.7723995788;296.647555863147;2.11300160752366;5
SANSED02#D09Sd02;172.011768280186;32714.3932488504;180.87120624591;0.362775850908782;5
SANSED02#D09Sd03;104.804926262805;11015.7233142173;104.955816009487;0.246153099862351;5
SANSED02#D10Sd01;19.3538027225811;398.108196930684;19.9526488700294;0.0824318932551775;5
SANSED02#D10Sd02;36.1142780113546;1362.57245201174;36.9130390514211;0.191649240714015;5
SANSED02#D10Sd03;39.4564641556749;1568.12710487199;39.5995846552964;0.159081285851256;5
SANSED02#D11Sd01;19.2463459263551;648.965922331579;25.4748095641867;0.126812455921991;5
SANSED02#D11Sd02;96.6506307071981;9644.8321650567;98.2081064121323;0.443395022396273;5
SANSED02#D11Sd03;85.3567468213028;7555.89084252283;86.9246273648776;1.12481597623639;5
SANSED02#E06Sd01;14.10103276491;276.899780046006;16.640305887994;0.0203433600933684;5
SANSED02#E06Sd02;132.452888803409;17580.414681468;132.591156120867;0.166179322050213;5
SANSED02#E06Sd03;30.1519584129203;1216.50778022334;34.8784715866871;0.0434359735142873;5
SANSED02#E07Sd01;276.469694942257;76698.3631325272;276.944693273814;1.1078509725252;5
SANSED02#E07Sd02;251.865115149161;63573.1044362777;252.137074696043;0.408033000944856;5
SANSED02#E07Sd03;41.3668036512597;4264.86187365122;65.3059099442862;0.0936834244935517;5
SANSED02#E08Sd01;212.80598994518;45740.635271568;213.870604037974;0.366851259125425;5
SANSED02#E08Sd02;48.9573496640743;2652.77528562506;51.505099607952;0.121989252890294;5
SANSED02#E08Sd03;61.5211149186006;4676.55993967237;68.3853781131052;0.168946051281364;5
SANSED02#E09Sd01;37.7838881962769;2230.98052954842;47.2332566053667;0.139452050740234;5
SANSED02#E09Sd02;48.4973394500587;2494.50938501069;49.9450636701034;0.156361746032143;5
SANSED02#E09Sd03;133.727072559862;18382.584945587;135.582391723951;0.654794246710993;5
SANSED02#E10Sd01;6.05203223220474;66.8962615514579;8.17901348277761;0.0311076897962297;5
SANSED02#E10Sd02;45.2546929710324;2191.73939083795;46.8160163922343;0.279425729107219;5
SANSED02#E10Sd03;64.2206427253157;4136.09637549282;64.3124900427034;0.264909531787412;5
SANSED02#E11Sd01;28.609653928965;822.746512349494;28.6835582233009;0.302015721113461;5
SANSED02#E11Sd02;4.07622887635596;28.121008106287;5.30292448619505;0.0357306101931887;5
SANSED02#E11Sd03;17.8899033248899;339.222018383363;18.4179808443641;0.139947183404206;5
SANSED04#G06Sd01;27.1557356613093;768.719716444383;27.7257951453945;0.0296058646789723;5
SANSED04#G06Sd02;34.1607065900171;1962.68645481219;44.3022172674482;0.0384380461560425;5
SANSED04#G06Sd03;160.189913659971;26524.19742777;162.862510811328;0.156873895222265;5
